"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Fantastic beasts - the secrets of Dumbledore","","020482020","Monograph","Language material ; Still image ; Text","Volume","GBC218894","9781526654755","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Movie magic","","England","London","Bloomsbury","2022","","1 volume, illustrations","791.4372","","Harry Potter films--Juvenile literature ; Fantastic beasts--Secrets of Dumbledore (Motion picture)--Juvenile literature","Children's literature","English",""
"Fantastic beasts and where to find them (Motion picture)","Fantastic beasts and where to find them : movie-making news : the stories behind the magic : exclusive interviews : filmmaking facts : previously untold tales ; Fantastic beasts. Crimes of Grindelwald (Motion picture) ; Movie-making news : the stories behind the magic","018930893","Monograph","Language material ; Still image ; Text","Volume","GBB8C2832","9780008294397","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Wizarding world","","England","London","HarperCollins","2018","","80 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), 29 cm","791.4375","LC.31.b.20566","Fantastic beasts--Crimes of Grindelwald (Motion picture) ; Characters and characteristics in motion pictures ; Fantastic beasts and where to find them (Motion picture) ; Harry Potter films","","English","'Discover all the behind scenes secrets from the first film and get a sneak-peek at ... Fantastic beasts, The crimes of Grindelwald.' ; Includes holographic image on cover"
"Fantastic beasts and where to find them : movie-making news : the stories behind the magic : exclusive interviews : filmmaking facts : previously untold tales","Fantastic beasts and where to find them (Motion picture) ; Fantastic beasts. Crimes of Grindelwald (Motion picture) ; Movie-making news : the stories behind the magic","018930893","Monograph","Language material ; Still image ; Text","Volume","GBB8C2832","9780008294397","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Wizarding world","","England","London","HarperCollins","2018","","80 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), 29 cm","791.4375","LC.31.b.20566","Fantastic beasts--Crimes of Grindelwald (Motion picture) ; Characters and characteristics in motion pictures ; Fantastic beasts and where to find them (Motion picture) ; Harry Potter films","","English","'Discover all the behind scenes secrets from the first film and get a sneak-peek at ... Fantastic beasts, The crimes of Grindelwald.' ; Includes holographic image on cover"
"Fantastic beasts. Crimes of Grindelwald (Motion picture)","Fantastic beasts and where to find them (Motion picture) ; Fantastic beasts and where to find them : movie-making news : the stories behind the magic : exclusive interviews : filmmaking facts : previously untold tales ; Movie-making news : the stories behind the magic","018930893","Monograph","Language material ; Still image ; Text","Volume","GBB8C2832","9780008294397","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Wizarding world","","England","London","HarperCollins","2018","","80 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), 29 cm","791.4375","LC.31.b.20566","Fantastic beasts--Crimes of Grindelwald (Motion picture) ; Characters and characteristics in motion pictures ; Fantastic beasts and where to find them (Motion picture) ; Harry Potter films","","English","'Discover all the behind scenes secrets from the first film and get a sneak-peek at ... Fantastic beasts, The crimes of Grindelwald.' ; Includes holographic image on cover"
"Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","Bulgakov, Mikhail, 1891-1940 ; Potter, Harry, (Fictitious character)--Criticism and interpretation ; Ethics in literature ; Christianity in literature ; Religion and culture ; Bulgakov, Mikhail, 1891-1940--Philosophy ; Brown, Dan, 1964- ; Булгаков, Михаил Афанасьевич, 1891-1940 ; Rowling, J. K.--Characters--Harry Potter ; Apocalyptic literature--History and criticism ; Religion in literature","","Russian",""
"Females and Harry Potter : not all that empowering","","013513884","Monograph","Language material ; Text","Volume","","9780742537781 ; 9780742537798","","Mayes-Elma, Ruthann","1974-","person","","Mayes-Elma, Ruthann, 1974- [person]","Reverberations","","United States of America","Lanham, Maryland ; Oxford","Rowman & Littlefield","2006","","vii, 155 pages","823.914","m06/.31547","Girls in literature ; Rowling, J. K.--Characters--Girls ; Rowling, J. K.--Characters--Women ; Children's stories, English--History and criticism ; Women in literature ; Rowling, J. K.--Study and teaching ; Fantasy fiction, English--History and criticism","","English",""
"Feng huang hui de mi ling","Ha li . bo te ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the deathly hallows ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Huo bei de kao yan ; Shen mi de mo fa shi ; Xiao shi de mi shi ; zi ka ban de tao fan ; 哈利. 波特 ; 消失的密室 ; 火盃的考驗 ; 神秘的魔法石 ; 阿茲卡班的逃犯 ; 鳳凰會的密令","018113703","Monograph","Language material ; Text","Volume","","9787020036646 ; 9787020103294 ; 9787020103300 ; 9787020103317 ; 9787020103324 ; 9787020103331 ; 9787020103348 ; 9787020103355","","Luolin (Rowling, Joanne Kathleen)","1965-","person","","Luolin (Rowling, Joanne Kathleen), 1965- [person] ; Su, Nong, translator [person] ; Zheng, Xumi, wen xue [person] ; Rowling, J. K. [person] ; 马爱新 [person] ; 郑须弥, 文学 [person] ; 罗林 (Rowling, Joanne Kathleen), 1965- [person] ; Ma, Aixin, translator [person] ; 苏农 [person] ; 马爱农 [person] ; Ma, Ainong, translator [person]","","","China","Bei jing","Ren min wen xue chu ban she ; 人民文学出版社","2014","Di 1 ban ; Ji nian ban ; 第1版 ; 纪念版","7 volumes, black and white illustrations, 24 cm","","CHI.2016.a.92","Magic--Juvenile fiction ; England ; England--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization) ; Schools ; Wizards ; Schools--Juvenile fiction ; Wizards--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fiction","Chinese","Ze ren zhe (Rowling) gui fan han yi xing : luo lin ; 责任者 (Rowling) 规范汉译姓 : 罗林"
"Flute exam pieces : ABRSM grade 3 : selected from the 2014-2017 syllabus","Airs ; Amazonian mood ; Barcelona ; Chanson de la pastoure ; Chanson serbe ; Cinq sets ; Cool flute ; Don Giovanni ; Exercices journaliers ; Full on ; Harry Potter and the goblet of fire ; Hazelnote crunch ; High five ; Hole in my shoe ; Insouciance ; Menuette mit Trios ; Norwegische Tänze ; Overtures ; Panurge dans l'isle des lanternes ; Plaintive flute ; Progressive flute studies ; Serenades ; St Lucia ; Study ; Symphonies ; Toffee tango ; Tre giorni son che Nina ; Vie parisienne ; Waltzer ; Whistlin'","016498747","Monograph","Notated music ; Performed music","Audio disc ; Volume","","9781848495067","","Associated Board of the Royal Schools of Music (Great Britain)","","organisation","","Stapleton, Dave, 1979- [person] ; Salter, Lionel [person] ; Sogni, Angela, musician [person] ; Wastall, Peter [person] ; Rae, James [person] ; Luypaerts, Guy-Claude, 1949- [person] ; Demersseman, Jules, 1833-1866 [person] ; McDowall, Cecilia [person] ; Tulou, Jean-Louis, 1786-1865 [person] ; Harris, Paul, 1956- [person] ; Lawrance, Peter [person] ; Shaw, Richard, pianist [person] ; Thomas, Kathryn, 1973- [person] ; Lyons, Graham, 1936- [person] ; Ledbury, Oliver [person] ; Grétry, André-Ernest-Modeste, 1741-1813 [person] ; Adams, Sally, musician [person] ; Doyle, Patrick, 1953- [person] ; Gatti, Giovanni [person] ; Offenbach, Jacques, 1819-1880 [person] ; Mozart, Wolfgang Amadeus, 1756-1791 [person] ; Boyce, William, 1711-1779 [person] ; Burton, Anthony, writer [person] ; Kelly, Bryan [person] ; Gariboldi, G. [person] ; Gordon, David, 1965- [person] ; Telemann, Georg Philipp, 1681-1767 [person] ; Bullard, Alan, 1947- [person] ; Arrieu, Claude, 1903-1990 [person] ; Milford, Robin, 1903-1959 [person] ; Associated Board of the Royal Schools of Music (Great Britain) [organisation] ; Schubert, Franz, 1797-1828 [person] ; Pergolesi, Giovanni Battista, 1710-1736 [person] ; Denley, Ian, musician [person] ; Grieg, Edvard, 1843-1907 [person] ; Stephen, Ros [person]","","","England","London","ABRSM","2013","Score, parts and CD","1 score (13 pages) + 1 part (10 pages), 31 cm + 1 CD","788.32","g.1787.w./2014-2017","Recorded accompaniments (Flute) ; Associated Board of the Royal Schools of Music (Great Britain)--Examinations ; Flute and piano music, Arranged--Scores and parts ; Flute and piano music--Scores and parts ; Flute music ; Flute--Great Britain--Examinations, questions, etc","","","3 pieces are for solo flute; the other 6 have piano accompaniment ; 9 pieces from the Associated Board of the Royal Schools of music examination syllabus for grade 3 flute ; CD contains full demonstration tracks for all 30 pieces on the syllabus and backing tracks for those with piano accompaniment, performed by Kathryn Thomas (flute) and Richard Shaw (piano) ; Cover title ; Includes notes on the pieces by Anthony Burton"
"Foil Wonders: Around the Wizarding World (Harry Potter)","","020713235","Monograph","Language material","","","9780702316555","","Meadowsweet, Jasper","","person","author","Meadowsweet, Jasper, author [person]","","","England ; New Zealand","London","HarperCollins ; Scholastic","2022","","1 volume (unpaged), 25 x 20 x 1 cm","","","","","English","Includes 16 foil sheets!"
"Foreignisation and domestication of neologisms and idioms in the Arabic translation of Harry Potter","","019696546","Monograph","Language material ; Text","Online resource","","","","Alharbi, Alshaymaa Y.","","person","author","University of Leicester [organisation] ; Alharbi, Alshaymaa Y., author [person]","","","United Kingdom","","University of Leicester","2019","","1 online resource","418","794044","","","English",""
"Forest, sky & lake dwelling creatures","Harry Potter film vault. Volume 1. Forest, sky & lake dwelling creatures","019454751","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet ; Volume","GBB9B7653","9781789092639","","","","","","","","","England","London","Titan","2019","","1 volume, illustrations, 28 cm + 1 poster","791.4372","","Harry Potter films","","English",""
"From Alice to Harry Potter : children's fantasy in England","","013097606","Monograph","Language material ; Text","Volume","","9781877275555","","Manlove, C. N. (Colin Nicholas)","1942-","person","","Manlove, C. N. (Colin Nicholas), 1942- [person]","","","New Zealand","Christchurch, New Zealand","Cybereditions","2003","","250 pages, 23 cm","","m05/.20201","Children's stories, English--History and criticism ; Fantasy fiction, English--History and criticism","","English",""
"From Goggle-eyes to Harry Potter : a ten year supplement to outstanding children's books (1932-1988) listing 315 winners of awards of official commendations during the period from 1989 to 1998","","012669161","Monograph","Language material ; Text","Volume","GBA117612","9780901922359","","Campbell, Alasdair","","person","","Librarians of Institutes and Schools of Education [organisation] ; Campbell, Alasdair [person]","","","England ; Wales","Swansea","Librarians of Institutes & Schools of Education","1999","","47 pages, 21 cm","016.8239140809282","YC.2001.a.6162","Children--Books and reading ; Best books","","English","Includes indexes"
"From here to Hogwarts : essays on Harry Potter fandom and fiction","","017675676","Monograph","Language material ; Text","Volume","GBB5I3606","9780786499311","","","","","","Bell, Christopher E., 1974-, editor [person]","","","United States of America","Jefferson, North Carolina","McFarland","2016","","viii, 224 pages, 23 cm","823.914","YC.2016.a.635","Rowling, J. K.--Criticism and interpretation ; Potter, Harry, (Fictitious character) ; Fans (Persons) ; Children's stories, English--History and criticism","","English",""
"From the films of Harry Potter : the wand collection","","019937846","Monograph","Language material ; Still image ; Text","Volume","GBC0D8733","9781683839880 ; 9781789096361","","Peterson, Monique","","person","author","Peterson, Monique, author [person]","","","United States of America","San Rafael, California","Insight","2020","","1 volume (unpaged), illustrations, 15 x 31 cm","791.4372","LC.31.a.26210","Harry Potter films--Miscellanea","","English",""
"From the films of Harry Potter, a pop-up guide to Diagon Alley and beyond","A pop-up guide to Diagon Alley and beyond","019867124","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Sheet ; Volume","GBC0A0964","9781789096354","","Reinhart, Matthew","","person","artist","Reinhart, Matthew, artist [person] ; Revenson, Jody, writer [person] ; Wilson, Kevin M., illustrator [person]","","","England","London","Titan","2020","","1 volume (unpaged), chiefly colour illustrations, 29 cm + instruction sheet","791.4375","LC.31.b.22821","Pop-up books--Specimens ; Motion pictures--Setting and scenery--Pictorial works ; Harry Potter films--Pictorial works ; Potter, Harry, (Fictitious character)--Pictorial works","Pictorial work ; Specimen","English","'Unfolds into a 4ft-long 3D model of Diagon Alley and beyond!' -- instruction sheet ; 'Wizarding world' ; At head of title: 'From the films of Harry Potter' ; Includes over a dozen paper characters to place in each scene' -- instruction sheet"
"Från Gossip Girl till Harry Potter : genusperspektiv på ungdomslitteratur","","015904839","Monograph","Language material ; Text","Volume","","9789170186783","","Nilson, Maria","","person","","Nilson, Maria [person]","","","Sweden","Lund","","2010","","188 pages, 20 cm","","YF.2011.a.24827","Young adult literature, American--History and criticism ; Young adult literature, European--History and criticism ; Ungdomsböcker--genusaspekter ; Young adult literature, Scandinavian--Themes, motives ; Young adult literature, American--Themes, motives ; Young adult literature, European--Themes, motives ; Sex role in literature ; Young adult literature, Scandinavian--History and criticism","","English ; Swedish",""
"Full on","Airs ; Amazonian mood ; Barcelona ; Chanson de la pastoure ; Chanson serbe ; Cinq sets ; Cool flute ; Don Giovanni ; Exercices journaliers ; Flute exam pieces : ABRSM grade 3 : selected from the 2014-2017 syllabus ; Harry Potter and the goblet of fire ; Hazelnote crunch ; High five ; Hole in my shoe ; Insouciance ; Menuette mit Trios ; Norwegische Tänze ; Overtures ; Panurge dans l'isle des lanternes ; Plaintive flute ; Progressive flute studies ; Serenades ; St Lucia ; Study ; Symphonies ; Toffee tango ; Tre giorni son che Nina ; Vie parisienne ; Waltzer ; Whistlin'","016498747","Monograph","Notated music ; Performed music","Audio disc ; Volume","","9781848495067","","Associated Board of the Royal Schools of Music (Great Britain)","","organisation","","Stapleton, Dave, 1979- [person] ; Salter, Lionel [person] ; Sogni, Angela, musician [person] ; Wastall, Peter [person] ; Rae, James [person] ; Luypaerts, Guy-Claude, 1949- [person] ; Demersseman, Jules, 1833-1866 [person] ; McDowall, Cecilia [person] ; Tulou, Jean-Louis, 1786-1865 [person] ; Harris, Paul, 1956- [person] ; Lawrance, Peter [person] ; Shaw, Richard, pianist [person] ; Thomas, Kathryn, 1973- [person] ; Lyons, Graham, 1936- [person] ; Ledbury, Oliver [person] ; Grétry, André-Ernest-Modeste, 1741-1813 [person] ; Adams, Sally, musician [person] ; Doyle, Patrick, 1953- [person] ; Gatti, Giovanni [person] ; Offenbach, Jacques, 1819-1880 [person] ; Mozart, Wolfgang Amadeus, 1756-1791 [person] ; Boyce, William, 1711-1779 [person] ; Burton, Anthony, writer [person] ; Kelly, Bryan [person] ; Gariboldi, G. [person] ; Gordon, David, 1965- [person] ; Telemann, Georg Philipp, 1681-1767 [person] ; Bullard, Alan, 1947- [person] ; Arrieu, Claude, 1903-1990 [person] ; Milford, Robin, 1903-1959 [person] ; Associated Board of the Royal Schools of Music (Great Britain) [organisation] ; Schubert, Franz, 1797-1828 [person] ; Pergolesi, Giovanni Battista, 1710-1736 [person] ; Denley, Ian, musician [person] ; Grieg, Edvard, 1843-1907 [person] ; Stephen, Ros [person]","","","England","London","ABRSM","2013","Score, parts and CD","1 score (13 pages) + 1 part (10 pages), 31 cm + 1 CD","788.32","g.1787.w./2014-2017","Recorded accompaniments (Flute) ; Associated Board of the Royal Schools of Music (Great Britain)--Examinations ; Flute and piano music, Arranged--Scores and parts ; Flute and piano music--Scores and parts ; Flute music ; Flute--Great Britain--Examinations, questions, etc","","","3 pieces are for solo flute; the other 6 have piano accompaniment ; 9 pieces from the Associated Board of the Royal Schools of music examination syllabus for grade 3 flute ; CD contains full demonstration tracks for all 30 pieces on the syllabus and backing tracks for those with piano accompaniment, performed by Kathryn Thomas (flute) and Richard Shaw (piano) ; Cover title ; Includes notes on the pieces by Anthony Burton"
"Goblins, house-elves, and dark creatures","","019790169","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet ; Volume","GBC057005","9781789094879","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Harry Potter film vault","9 [Harry Potter film vault]","England","London","Titan","2020","","1 volume, illustrations, 28 cm + 1 poster","791.4375","","Harry Potter films ; Rowling, J. K.--Characters","","English",""
"God, the devil, & Harry Potter : a minister's defense of the boy wizard","","006921386","Monograph","Language material ; Text","Volume","GBA3Y9816","9780312308698","","Killinger, John","","person","","Killinger, John [person]","","","England ; United States of America","Godalming ; New York","Melia ; St Martin's","2003","","1 volume, 22 cm","823.914","","Potter, Harry, (Fictitious character) ; Religion and literature ; Children's stories--History and criticism","","English",""
"Gringotts : the role of banks in Harry Potter's wizarding world","Agents of the good, servants of evil : Harry Potter and the law of agency ; Bots and gemots : Anglo-Saxon legal references in Harry Potter ; Economic growth in the Potterian economy ; Harry Potter and the curse of difference ; Harry Potter and the development of moral judgment in children ; Harry Potter and the half-crazed bureaucracy ; Harry Potter and the image of God : how house-elves can help us to understand the dignity of the person ; Harry Potter and the unforgivable curses ; Harry Potter as client in a lawsuit : utilizing the archetypal hero's journey as part of case strategy ; Harry Potter goes to law school ; Hogwarts, the family, and the state : forging identity and virtue in Harry Potter ; Moral choice, wizardry, law, and liberty : a classical liberal reading of the role of law in the Harry Potter series ; Professor Dumbledore's wisdom and advice ; Punishment in the Harry Potter novels ; Sirius Black : a case study in actual innocence ; The law and Harry Potter ; What role need law play in a society with magic? ; When Harry met Martin : imagination, imagery, and the color line ; Which spell : learning to think like a wizard ; Who wants to be a muggle? : the diminished legitimacy of law as magic ; magic of money and banking ; persecution of Tom Riddle : a study in human rights law","015503223","Monograph","Language material ; Text","Volume","","9781594606458","","","","","","Snyder, Franklin G. [person] ; Thomas, Jeffrey E., 1959- [person]","","","United States of America","Durham, North Carolina","Carolina Academic Press","2010","","viii, 414 pages, illustrations, 23 cm","823.914","m10/.14707","Magic in literature ; Potter, Harry, (Fictitious character) ; Wizards in literature ; Law in literature ; Rowling, J. K.--Criticism and interpretation ; Rowling, J. K.--Characters--Harry Potter","","English",""
"Gryffindor magic : artifacts from the Wizarding World","","020084121","Monograph","Language material ; Still image ; Text","Volume","GBC108230","9781789096408","","","","","","","","","England","London","Titan","2021","","1 folded sheet, illustrations, 25 cm","791.4375","","Harry Potter films--Miscellanea","","English",""
"Gryffindor magic : artifacts from the Wizarding World","","020134611","Monograph","Language material ; Text","Volume","GBC142749","9781647221928","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Harry Potter","","United States of America","San Rafael","Insight","2021","","1 volume, 26 cm","791.4375","","Harry Potter films--Miscellanea","","English",""
"HARRY POTTER PUZZLE BOOK : The Perfect Hogwarts and Wizarding Trivia Quiz Book","","020175938","Monograph","Language material","","","9781913712181","","Eddy, Clever","","person","author","Eddy, Clever, author [person]","","","England","","Clever Eddy ; Kindle Direct Publishing","2021","","125 pages, 25 x 18 cm","","","","","English","paperback / softback"
"Ha li . bo te","Feng huang hui de mi ling ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the deathly hallows ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Huo bei de kao yan ; Shen mi de mo fa shi ; Xiao shi de mi shi ; zi ka ban de tao fan ; 哈利. 波特 ; 消失的密室 ; 火盃的考驗 ; 神秘的魔法石 ; 阿茲卡班的逃犯 ; 鳳凰會的密令","018113703","Monograph","Language material ; Text","Volume","","9787020036646 ; 9787020103294 ; 9787020103300 ; 9787020103317 ; 9787020103324 ; 9787020103331 ; 9787020103348 ; 9787020103355","","Luolin (Rowling, Joanne Kathleen)","1965-","person","","Luolin (Rowling, Joanne Kathleen), 1965- [person] ; Su, Nong, translator [person] ; Zheng, Xumi, wen xue [person] ; Rowling, J. K. [person] ; 马爱新 [person] ; 郑须弥, 文学 [person] ; 罗林 (Rowling, Joanne Kathleen), 1965- [person] ; Ma, Aixin, translator [person] ; 苏农 [person] ; 马爱农 [person] ; Ma, Ainong, translator [person]","","","China","Bei jing","Ren min wen xue chu ban she ; 人民文学出版社","2014","Di 1 ban ; Ji nian ban ; 第1版 ; 纪念版","7 volumes, black and white illustrations, 24 cm","","CHI.2016.a.92","Magic--Juvenile fiction ; England ; England--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization) ; Schools ; Wizards ; Schools--Juvenile fiction ; Wizards--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fiction","Chinese","Ze ren zhe (Rowling) gui fan han yi xing : luo lin ; 责任者 (Rowling) 规范汉译姓 : 罗林"
"Ha-ruʾe Phod-thar dang gsang baʾi khang pa","Harry Potter and the chamber of secrets. Tibetan ; ཧ་རུའེ་ཕོད་ཐར་དང་གསང་བའི་ཁང་པ།","018306676","Monograph","Language material ; Text","Volume","","9787223026246","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971-, translator [person]","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2009","","348 pages, illustrations, 24 cm","","YP.2018.a.6899","Magic--Juvenile fiction ; England ; Potter, Harry, (Fictitious character)--Juvenile fiction ; England--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization) ; Schools ; Wizards ; Schools--Juvenile fiction ; Wizards--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fiction","Tibetan",""
"Ha-ruʾe Phod-thar dang tshe rdo","Harry Potter and the philosopher's stone. Tibetan ; ཧ་རུའེ་ཕོད་ཐར་དང་ཚེ་རྡོ།","018306670","Monograph","Language material ; Text","Volume","","9787223022583","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971-, translator [person]","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2007","","320 pages, illustrations, 24 cm","","YP.2018.a.6898","Magic--Juvenile fiction ; England ; Potter, Harry, (Fictitious character)--Juvenile fiction ; England--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization) ; Schools ; Wizards ; Schools--Juvenile fiction ; Wizards--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fiction","Tibetan",""
"Haerri Pottoē kap dek tong kham sāp","Harry Potter and the cursed child. Thai","018839418","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","Thorne, Jack, author [person] ; Tiffany, John, 1971-, author [person] ; Rowling, J. K., author [person] ; Sumālī Bamrungsuk, translator [person]","","","Thailand","Bangkok","Nannmeebooks","2016","","368 pages, 21 cm","","","Potter, Harry, (Fictitious character)--Drama ; Fantasy drama, English--Translations into Thai","Drama ; Translations into Thai","Thai",""
"Hare Pota me te whatu manapou","Harry Potter and the philosopher's stone ; Harry Potter and the philosopher's stone. Māori","020268552","Monograph","Language material ; Text","Volume","GBC2F6671","9781869409142","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person] ; Blake, Leon, translator [person]","Kotahi rau pukapuka","2 [Kotahi rau pukapuka]","New Zealand","Tāmaki Makaurau, Aotearoa","Auckland University Press","2020","","322 pages, 21 cm","823.914","YD.2021.a.1525 ; YKL.2022.a.22995","Pakiwaitara ; Magic--Juvenile fiction ; Potter, Harry, (Fictitious character)--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization) ; Wizards ; Poudlard (Organisation imaginaire)--Romans, nouvelles, etc. pour la jeunesse ; Wizards--Juvenile fiction ; Kōrero paki mā ngā tamariki ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fantasy ; Romance","Maori","Novel for children ; Translated from English into Mãori"
"Harri Potter a maen yr Athronydd","Harry Potter and the philosopher's stone. Welsh","017380642","Monograph","Language material ; Still image ; Text","Volume","GBB569859","9781408871591","","Rowling, J. K.","","person","author","Huws, Emily, translator [person] ; Rowling, J. K., author [person]","","","England","London","Bloomsbury","2015","Illustrated edition, illustrated by Jim Kay","245 pages, illustrations, 27 cm","823.914","","Wizards--Juvenile fiction ; Potter, Harry (Fictitious character)--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fantasy","Welsh","Translated from the English"
"Harri Potter a maen yr athronydd","Harry Potter and the philosopher's stone. Welsh","010757660","Monograph","Language material ; Text","Volume","GBA354127","9780747569305 ; 9781582348278","","Rowling, J. K.","","person","","Huws, Emily [person] ; Rowling, J. K. [person]","","","England","Efrog Newydd ; Llundain","Bloomsbury","2003","","245 pages, 21 cm","823.914","YK.2003.a.16591","Magic--Juvenile fiction ; Wizards--Juvenile fiction","Children's fiction","Welsh","Addasiad Cymraeg gan = Welsh adaptation by : Emily Huws ; Argraffiad Saesneg gwreiddiol = Original English edition : London : Bloomsbury, 1997"
"Harri Potter a maen yr athronydd","Harry Potter and the philosopher's stone. Welsh","015670685","Monograph","Language material ; Text","Volume","GBB0C7101","9781408817674","","Rowling, J. K.","","person","","Huws, Emily [person] ; Rowling, J. K. [person]","","","England","Llundain","Bloomsbury","2010","","245 pages, 20 cm","","","Potter, Harry, (Fictitious character)--Fiction ; Wizards--Fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary place)--Fiction","Fantasy ; Fiction","Welsh","Arg. Cymraeg cyntaf = Original Welsh edition: Bloomsbury, 2003 ; Cyhoeddwyd yn wreiddiol yn Saesneg = Originally published in English: Bloomsbury, 1997"
"Harri Potter i Orden Feniksa","Harry Potter and the Order of the Phoenix. Ukrainian","013462309","Monograph","Language material ; Text","Volume","","9789667047429","","Rowling, J. K.","","person","","Nehrebet︠s︡ʹkyĭ, Oleksa [person] ; Rowling, J. K. [person] ; Malkovych, Ivan [person] ; Morozov, Viktor [person]","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2003","","815 pages, 21 cm","","YF.2006.a.17851","Hogwarts School of Witchcraft and Wizardry (Imaginary place)--Juvenile fiction ; Magic--Juvenile fiction ; Potter, Harry, (Fictitious character)--Juvenile fiction ; England--Juvenile fiction ; Wizards--Juvenile fiction","Children's fiction","Ukrainian",""
"Harri Potter i filosofsʹkyĭ kaminʹ","Harry Potter and the philosopher's stone. Ukrainian","013462304","Monograph","Language material ; Text","Volume","","9789669608864","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Morozov, Viktor [person]","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","314 pages, 21 cm","","YF.2006.a.17850","Magic--Juvenile fiction ; Potter, Harry, (Fictitious character)--Juvenile fiction ; England--Juvenile fiction ; Schools--Juvenile fiction ; Wizards--Juvenile fiction","Children's fiction","Ukrainian",""
"Harri Potter i kelykh vohni︠u︡","Harry Potter and the goblet of fire. Ukrainian","007978627","Monograph","Language material ; Text","Volume","","9789667047405","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Nehrebet︠s︡ʹkyĭ, Oleksa [person] ; Andrukhovych, Sofii︠a︡, 1982- [person] ; Morozov, Viktor [person] ; Malkovych, Ivan, 1961- [person]","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2003","","669 pages, 21 cm","","YA.2003.a.41307","Hogwarts School of Witchcraft and Wizardry (Imaginary place)--Juvenile fiction ; Magic--Juvenile fiction ; Potter, Harry, (Fictitious character)--Juvenile fiction ; England--Juvenile fiction ; Wizards--Juvenile fiction","Children's fiction","Ukrainian",""
