"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Schools--Fiction","general term","014752993","Monograph","Language material ; Text","Volume","","9788877827029","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Riglietti, Serena [person]","Harry Potter e la pietra filosofale : romanzo","Harry Potter and the philosopher's stone. Italian","","","Italy","Milano","A. Salani","2008","1st edition","293 pages, illustrations, 21 cm","823.914","YK.2011.a.33194","Children's fiction ; Fantasy ; Fiction","Italian","Sequel: Harry Potter e la Camera dei Segreti ; Translated from the English"
"Schools--Juvenile fiction","general term","013462304","Monograph","Language material ; Text","Volume","","9789669608864","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Morozov, Viktor [person]","Harri Potter i filosofsʹkyĭ kaminʹ","Harry Potter and the philosopher's stone. Ukrainian","","","Ukraine","Kyïv","A-Ba-Ba-Ha-La-Ma-Ha","2002","","314 pages, 21 cm","","YF.2006.a.17850","Children's fiction","Ukrainian",""
"Schools--Juvenile fiction","general term","018113703","Monograph","Language material ; Text","Volume","","9787020036646 ; 9787020103294 ; 9787020103300 ; 9787020103317 ; 9787020103324 ; 9787020103331 ; 9787020103348 ; 9787020103355","","Luolin (Rowling, Joanne Kathleen)","1965-","person","","Luolin (Rowling, Joanne Kathleen), 1965- [person] ; Su, Nong, translator [person] ; Zheng, Xumi, wen xue [person] ; Rowling, J. K. [person] ; 马爱新 [person] ; 郑须弥, 文学 [person] ; 罗林 (Rowling, Joanne Kathleen), 1965- [person] ; Ma, Aixin, translator [person] ; 苏农 [person] ; 马爱农 [person] ; Ma, Ainong, translator [person]","Ha li . bo te","Feng huang hui de mi ling ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the deathly hallows ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Huo bei de kao yan ; Shen mi de mo fa shi ; Xiao shi de mi shi ; zi ka ban de tao fan ; 哈利. 波特 ; 消失的密室 ; 火盃的考驗 ; 神秘的魔法石 ; 阿茲卡班的逃犯 ; 鳳凰會的密令","","","China","Bei jing","Ren min wen xue chu ban she ; 人民文学出版社","2014","Di 1 ban ; Ji nian ban ; 第1版 ; 纪念版","7 volumes, black and white illustrations, 24 cm","","CHI.2016.a.92","Children's fiction ; Fiction","Chinese","Ze ren zhe (Rowling) gui fan han yi xing : luo lin ; 责任者 (Rowling) 规范汉译姓 : 罗林"
"Schools--Juvenile fiction","general term","018306670","Monograph","Language material ; Text","Volume","","9787223022583","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971-, translator [person]","Ha-ruʾe Phod-thar dang tshe rdo","Harry Potter and the philosopher's stone. Tibetan ; ཧ་རུའེ་ཕོད་ཐར་དང་ཚེ་རྡོ།","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2007","","320 pages, illustrations, 24 cm","","YP.2018.a.6898","Children's fiction ; Fiction","Tibetan",""
"Schools--Juvenile fiction","general term","018306676","Monograph","Language material ; Text","Volume","","9787223026246","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971-, translator [person]","Ha-ruʾe Phod-thar dang gsang baʾi khang pa","Harry Potter and the chamber of secrets. Tibetan ; ཧ་རུའེ་ཕོད་ཐར་དང་གསང་བའི་ཁང་པ།","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2009","","348 pages, illustrations, 24 cm","","YP.2018.a.6899","Children's fiction ; Fiction","Tibetan",""
"Science--Popular works","general term","009056498","Monograph","Language material ; Text","Volume","GBA3Y2360","9780755311514","","Highfield, Roger","","person","","Highfield, Roger [person]","The science of Harry Potter : how magic really works","","","","England","London","Headline","2003","","384 pages, 20 cm","500","","","English","Originally published: 2002"
"Science--Popular works","general term","011358485","Monograph","Language material ; Text","Volume","GBA358211","9780755311507","","Highfield, Roger","","person","","Highfield, Roger [person]","The science of Harry Potter : how magic really works","","","","England","London","Headline","2002","","x, 374 pages, 22 cm","500","YK.2003.a.17078 ; m04/18490","","English",""
"Self-perception in children--Cross-cultural studies","general term","013585700","Monograph","Language material ; Text","Volume","","9783938028728","","","","","","Götz, Maya [person] ; Internationales Zentralinstitut für das Jugend- und Bildungsfernsehen [organisation]","Mit Pokémon in Harry Potters Welt : Medien in den Fantasien von Kindern","","Edition Televizion","","Germany","München","Kopaed","2006","","460 pages, illustrations, 21 cm","","YF.2006.a.35551","","German",""
"Self-perception in children--Cross-cultural studies--Congresses","general term","013147971","Monograph","Language material ; Text","Volume","GBA526050","9780805851915 ; 9780805851922","","","","","","Götz, Maya [person]","Media and the make-believe worlds of children : when Harry Potter meets Pokémon in Disneyland","","LEA's communication series","","England ; United States of America","London ; Mahwah, New Jersey","Eurospan ; Lawrence Erlbaum","2005","","xiv, 229 pages, illustrations, 24 cm + 1 CD rom","302.23083","Vm07/.50342","Congress","English",""
"Setting (Literature)","general term","020557569","Monograph","Language material ; Text","Online resource","GBC275337","9780007328567","","Malone, Aubrey","","person","","Malone, Aubrey [person]","An A-Z of Harry Potter : everything you always wanted to know about the boy wizard and his creator","","","","England","London","HarperCollins","2009","","1 online resource, illustrations","823.914","ELD.DS.684311","Dictionary","English","Originally published: Friday books, 2007"
"Sex role in literature","general term","015904839","Monograph","Language material ; Text","Volume","","9789170186783","","Nilson, Maria","","person","","Nilson, Maria [person]","Från Gossip Girl till Harry Potter : genusperspektiv på ungdomslitteratur","","","","Sweden","Lund","","2010","","188 pages, 20 cm","","YF.2011.a.24827","","English ; Swedish",""
"Social Science--General","general term","018912720","Monograph","Language material ; Text","Online resource","GBB8B8344","9781137558862 ; 9781137558879","","Glynn, Stephen","","person","author","Glynn, Stephen, author [person]","The British school film : from Tom Brown to Harry Potter : representations of secondary education in British cinema","","","","England","London","Palgrave Macmillan","2016","","1 online resource (ix, 269 pages), illustrations","791.436557","ELD.DS.302688","","English",""
"Social classes in literature","general term","019886315","Monograph","Language material ; Text","Volume","GBC0B6502","9781527557550","","Ayyıldız, Nilay Erdem","","person","author","Ayyıldız, Nilay Erdem, author [person]","The exercise of biopower through race and class in the Harry Potter series","","","","England","Newcastle upon Tyne","Cambridge Scholars","2020","","1 volume, 21 cm","823.92","","","English",""
"Sociology of disability","general term","017676684","Monograph","Language material ; Text","Volume","GBB5I4614","9781479823611","","Bérubé, Michael","1961-","person","author","Bérubé, Michael, 1961-, author [person]","The secret life of stories : from Don Quixote to Harry Potter, how understanding intellectual disability transforms the way we read","","","","United States of America","New York","New York University Press","2016","","xiii, 223 pages, 22 cm","808.3","m16/.10635","","English",""
"Sociology of disability","general term","018683607","Monograph","Language material ; Text","Volume","GBB813023","9781479832736","","Bérubé, Michael","1961-","person","author","Bérubé, Michael, 1961-, author [person]","The secret life of stories : from Don Quixote to Harry Potter, how understanding intellectual disability transforms the way we read","","","","United States of America","New York","New York University Press","2018","","1 volume, 21 cm","808.3","","","English","Originally published: 2016"
"Spirituality in literature","general term","011343874","Monograph","Language material ; Text","Volume","GBA384362","9780664226015","","Neal, C. W. (Connie W.)","1958-","person","","Neal, C. W. (Connie W.), 1958- [person]","The Gospel according to Harry Potter : spirituality in the stories of the world's most famous seeker","","","","England","London ; Louisville, Kentucky","Westminster John Knox Press","2002","","xvi, 166 pages, 22 cm","226.06","YK.2004.a.5205","","English",""
"Stage props","general term","017871083","Monograph","Cartographic image ; Language material ; Still image ; Text","Sheet ; Volume","GBB677017","9781785652882","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Harry Potter - the artifact vault","","","","England","London","Titan","2016","","207 pages, illustrations (black and white and colour), 29 cm + 1 poster (folded)","791.4372","LC.31.b.17487","","English","'An Insight Editions book'"
"Stage props","general term","020209244","Monograph","Language material ; Still image ; Text","Volume","GBC187351","9781789096422","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Ravenclaw magic : artifacts from the wizarding world","","","","England","London","Titan","2021","","1 pack, colour illustrations, 26 cm","791.4375","","","English","At head of title: Harry Potter ; Film tie-in"
"Stage props","general term","020209245","Monograph","Language material ; Still image ; Text","Volume","GBC187352","9781789096439","","Revenson, Jody","","person","author","Revenson, Jody, author [person]","Hufflepuff magic : artifacts from the wizarding world","","","","England","London","Titan","2021","","1 pack, colour illustrations, 26 cm","791.4375","","","English","At head of title: Harry Potter ; Film tie-in"
"Star Wars films--History and criticism","general term","016450011","Monograph","Language material ; Text","Volume","","9783837621488","","Flotmann, Christina","","person","","Flotmann, Christina [person]","Ambiguity in 'Star Wars' and 'Harry Potter' : a (post) structuralist reading of two popular myths","","Kultur- und Medientheorie","","Germany","Bielefeld","Transcript","2013","","393 pages, illustrations, 23 cm","791.43","YD.2013.a.1973","","English","Also presented as the author's thesis (doctoral) --Universität Paderborn"
"Stoker, Bram, 1847-1912--Characters","person","020738029","Monograph","Language material ; Text","Volume","GBC2F8838","9781592111671","","Cherry, Calvin H.","","person","author","Cherry, Calvin H., author [person]","A tale of two villains : theme and symbolism in Dracula and the Harry Potter saga","","","","United States of America","Las Vegas","Gaudium Publishing","2022","","1 volume, 23 cm","823.8","","","English",""
"Stoker, Bram, 1847-1912--Criticism and interpretation","person","020738029","Monograph","Language material ; Text","Volume","GBC2F8838","9781592111671","","Cherry, Calvin H.","","person","author","Cherry, Calvin H., author [person]","A tale of two villains : theme and symbolism in Dracula and the Harry Potter saga","","","","United States of America","Las Vegas","Gaudium Publishing","2022","","1 volume, 23 cm","823.8","","","English",""
"Storytelling in mass media","general term","019440672","Monograph","Language material ; Text","Volume","","9781479800650","","Thomas, Ebony Elizabeth","1977-","person","author","Thomas, Ebony Elizabeth, 1977-, author [person]","The dark fantastic : race and the imagination from Harry Potter to The hunger games","A queen out of place : dark fantastic dreaming and the spacetime politics of Gwen in BBC's Merlin -- ; Hermione is black : a postscript on Harry Potter and the crisis of infinite dark fantastic worlds -- ; Lamentations of a Mockingjay : The hunger games' Rue and racial innocence in the dark fantastic -- ; The curious case of Bonnie Bennett : The vampire diaries and the monstrous contradiction of the dark fantastic -- ; Toward a theory of the dark fantastic --","Postmillennial pop","","United States of America","New York","New York University Press","2019","","vii, 225 pages, illustrations, 24 cm","813.08766093552 ; 813.8766093552","m19/.11079","Criticsm and interpretation","English",""
"Success in literature","general term","016315248","Monograph","Language material ; Text","Volume","","9783828830103","","Himmelsbach, Silvia","","person","author","Himmelsbach, Silvia, author [person]","Harry Potters literarischer Zauber : eine Analyse zum Erfolg der Buchserie","","Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft","Band 26 [Wissenschaftliche Beiträge aus dem Tectum-verlag. Reihe Literaturwissenschaft]","Germany","Marburg","Tectum","2012","","volumes, 527, lviii, a 33 pages, black and white illustrations, 22 cm","","YF.2015.a.20982","Criticsm and interpretation","English ; German","Originally presented as the author's thesis (doctoral) --Universität des Saarlandes, 2011"
"Symbolism in literature","general term","014580933","Monograph","Language material ; Text","Volume","GBB017957","9781846940934","","Trevarthen, Geo Athena","","person","","Trevarthen, Geo Athena [person]","The seeker's guide to Harry Potter : the unauthorized course","","","","England","Winchester","","2008","","261 pages, illustrations, 22 cm","823.914","YK.2009.a.29919","","English","paperback"
"Symbolism in literature","general term","020304996","Monograph","Language material ; Text","Volume","GBC263041","9781476681344","","","","","","Mamary, Anne J. M., 1964-, editor [person]","The alchemical Harry Potter : essays on transfiguration in J.K. Rowling's novels","","","","United States of America","Jefferson, North Carolina","McFarland","2021","","xi, 311 pages, black and white illustrations, 23 cm","823.914","YKL.2022.a.10080","","English",""
"Sâarospatak","geographical term","012984956","Monograph","Language material ; Text","Volume","","9789637299063","","","","","","Kiss, Ferenc [person]","Ködöböcz József emlékére","","Sárospataki pedagógiai füzetek","22 [Sárospataki pedagógiai füzetek]","Hungary","Sárospatak","MECTIFK","2003","","224 pages, illustrations, 20 cm","","","","Hungarian","Constituent unit: Demeter, Éva. Terepgyakorlat a Természetismeret műveltségterületi képzésben ; Constituent unit: Farkasné Borza, Éva. Óvodai nevelés iskola előkészítő feladata ; Constituent unit: Fehâer Erzsâebet 1941-. Sâarospataki âovodâak mâultjâabâol ; Constituent unit: Ferâonâe Komolay Anikâo 1949-. Kooperatâiv tanulâas lehetîosâegei az âovâokâepzâesben ; Constituent unit: Gâal Gyèongyi. Projektmâodszer az irodalomâorâan ; Constituent unit: Hegedîus Lâaszlâo 1952-. Mâedia hatâasa a gyermeki agresszivitâasra ; Constituent unit: Kelemen Judit. Anthem mîufaj fejlîodâese a Stuart-restaurâaciâo kezdetâeig, 1660 ; Constituent unit: Kiss Ferenc. Csalâadi szocializâaciâos problâemâak a pszichâes sâerèulâesek hâatterâeben ; Constituent unit: Komâaromy Sâandor. Ifjâusâagi regâeny a hegyaljai felkelâesrîol ; Constituent unit: Kâezi Erzsâebet. Sâarospataki Reformâatus Kollâegium tanâarainak publikâaciâos tevâekenysâege a kâet vilâaghâaborâu kèozèott ; Constituent unit: Kőszegi, Ferenc. Magyarországi túrázás története II. XIX. század ; Constituent unit: Lavothâanâe Jâager Katalin. J. K. Rowling Harry Potter kèoteteirîol - leginkâabb az I. kèotetrîol ; Constituent unit: Molnâar Lâaszlâonâe. Betîutanâitâast segâitîo taneszkèoz ; Constituent unit: Molnâar âAgnes. Kèulfèoldi' nyelvtanok hasznâalhatâosâaga a magyar nyelv esetâeben Gâati Istvâan vâelemâenye szerint ; Constituent unit: Nagy, György. Akit ellepett a múlt pora ; Constituent unit: Sóstói, Pálné. Szemléletváltással az óvodából iskolába való átmenet zökkenőmentességéért! ; Constituent unit: Tornallyai Jâanosnâe. Projektpedagâogia a kèornyezetkultâura âorâakon ; Constituent unit: Tusnâady Lâaszlâo 1940-. Kèoltâeszet, valâosâag âes nyelvvâedelem ; Constituent unit: Tusnâady Lâaszlâonâe. Gyermekeink a mâedia vilâagâanak âutvesztîoiben ; Constituent unit: Vincze Tamâas. Idealizâalt gyermekkâep nyomâaban"
"Themes, motives","general term","018073835","Monograph","Language material ; Text","Volume","","9782130626701","","Milner, Jean-Claude","","person","","Milner, Jean-Claude [person]","Harry Potter à l'école des sciences morales et politiques","","","","France","Paris","Presses Universitaires de France","2014","","212 pages, 19 cm","791","YF.2016.a.24408","Criticsm and interpretation","French",""
"Theology","general term","013061714","Monograph","Language material ; Text","Volume","","9783825875145","","","","","","Drexler, Christoph, 1970- [person] ; Wandinger, Nikolaus, 1965- [person]","Leben, Tod und Zauberstab : auf theologischer Spurensuche in Harry Potter","","Literatur, Medien, Religion","Band 11 [Literatur, Medien, Religion]","Germany","Münster","","2004","","143 pages, 24 cm","","YF.2005.a.22453","","German",""
"Thorne, Jack","person","019464184","Monograph","Language material ; Text","Online resource (ebook)","GBB9C2539","9781781104354","","","","","","Revenson, Jody, author [person]","Harry Potter and the cursed child : the journey : behind the scenes of the award-winning stage production","","","","England","London","Pottermore from J.K. Rowling","2019","","1 online resource","792.92","","","English","Additional physical form: Print version. 9780751576108 ; Previously issued in print: London: Little, Brown, 2019"
"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973","person","015958765","Monograph","Language material ; Text","Volume","","9783825815875","","","","","","Söderblom, Kerstin, editor [person] ; Dinter, Astrid, 1969-, editor [person]","Vom Logos zum Mythos : 'Herr der Ringe' und 'Harry Potter' als zentrale Grunderzählungen des 21. Jahrhunderts : praktisch-theologische und religionsdidaktische Analysen","","Ökumenische Religionspädagogik","Band 2 [Ökumenische Religionspädagogik]","Germany","Berlin","","2010","","323 pages, black and white illustrations, 21 cm","","YF.2013.a.21903","","German",""
"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973","person","018567346","Monograph","Language material ; Still image ; Text","Volume","GBB7J9688","9781137596154","","Michelle, Carolyn","","person","author","Michelle, Carolyn, author [person] ; Davis, Charles H., Professor in media management, entrepreneurship, author [person] ; Hardy, Ann L., author [person] ; Hight, Craig, author [person]","Fans, blockbusterisation, and the transformation of cinematic desire : global receptions of the 'Hobbit' film trilogy","","","","England","London","Palgrave Macmillan","2017","","xvi, 344 pages, illustrations, 22 cm","791.4375","YC.2018.a.15410","Motion picture","English","Additional physical form: ebook version. 9781137596161"
"Toy and movable books","general term","013795579","Monograph","Language material ; Text","Volume","GBA756028","9781405903585","","","","","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix : portfolio","","","","England","London","BBC Children's","2007","","1 volume (scrapbook), colour illustrations, 28 cm + 6 posters + 5 postcards + 4 sheets of stickers + 1 postcard book","823.914","Cup.936/2540","Children's literature","English","In cardboard case ; Title from case"
"Toy and movable books","general term","018706172","Monograph","Language material ; Still image ; Text","Volume","GBB8B1857","9781406377002","","","","","","Buoncristiano, Scott, illustrator [person]","Harry Potter Quidditch : magical film projections","Quidditch : magical film projections","","","England","London","Insight Editions Book ; Walker","2017","","1 volume (unpaged), black and white illustrations, 24 cm","","","Children's fiction ; Drama ; Pictorial work","English","At head of title: From J.K. Rowling's wizard world ; Includes scenes from the Harry Potter films ; illustrations are stamped on clear acetate panels"
"Toy and movable books","general term","019028581","Monograph","Language material ; Still image ; Text","Volume","GBB8F7958","9781338246100","","","","","","","Hidden Hogwarts scratch magic : From the films of Harry Potter","","","","England ; United States of America","New York","Scholastic","2018","","64 unnumbered pages, colour illustrations, 22 cm","","","Children's fiction","English","Includes one wooden stylus"
"Toy and movable books","general term","019659734","Monograph","Language material ; Still image ; Text","Volume","GBC005191","9781338572513","","","","","","","Hidden dark arts : Scratch Magic","","","","England","London","Scholastic","2019","","1 volume (unpaged), colour illustrations, 22 cm + 1 wooden stylus","","CLE.2021.a.189","Children's fiction","English","At the head of title: From the films of Harry Potter ; Includes one wooden stylus and 20 scratch-off pages ; book with accessories"
"Toy and movable books--Specimens","general term","013274511","Monograph","Language material ; Text","Volume","GBA569176","9781405901536","","","","","","","Magical scenes : pop-up book","","Harry Potter","","England","London","BBC Children's","2005","","12 pages, colour illustrations, 28 cm","823.914","YK.2011.b.6724","Children's literature ; Illustration ; Pictorial work ; Specimen","English","Pages have fold-out flaps ; Pull-the-tab pop-up book, with acetate details ; Text and illustrations on inside covers ; Title from cover"
"Toy and movable books--Specimens","general term","013431848","Monograph","Language material ; Still image ; Text","Volume","GBA634031","9781405902045","","","","","","Rowling, J. K. [person] ; GrandPré, Mary, illustrator [person] ; Finch, Keith, 1966-, illustrator [person]","Harry at Hogwarts","","Harry Potter","","England","London","BBC Worldwide","2006","","10 unnumbered pages, chiefly colour illustrations, 13 cm","823.914","YK.2014.a.7055","Children's literature ; Pictorial work ; Specimen","English","'A hanging pop-up book' ; Title from cover"
"Toy and movable books--Specimens","general term","013431849","Monograph","Language material ; Text","Volume","GBA634032","9781405902052","","","","","","GrandPré, Mary [person] ; Finch, Keith, 1966- [person] ; Rowling, J. K. [person]","Magical creatures : a hanging pop-up book","","Harry Potter","","England","London","BBC Worldwide","2006","","12 pages, illustrations, 13 cm","823.914","YK.2014.a.7054","Children's literature ; Pictorial work ; Specimen","English","Based on the characters by J.K. Rowling ; Pop-up book, with ribbon ties attached to covers ; Text and illustrations on inside covers ; Title from cover ; book designed to be opened fully and hung up"
"Toy and moveable books--Specimens","general term","020487261","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Card ; Volume","GBC2G9984","9781178098686","","","","","","","Holiday magic : official Advent calendar : 25 days of surprises, with mini books, mementos, and more!","Harry Potter holiday magic","","","England","London","Titan","2021","","1 volume (unpaged), colour illustrations, 37 cm","791.4375","LC.31.b.23644","Pictorial work ; Specimen","English","'More than 40 surprises ... From fun mini booklets to Hogwarts house-inspired coasters, a keychain, stationery, and much more ... to delight fans of all ages!' -- Back cover ; 'Wizarding world' ; At head of title: 'From the films of Harry Potter'"
"Transfiguration (Spiritualism)--Juvenile fiction","general term","012266171","Monograph","Language material ; Text","Volume","GBA2Z5833","9780563533603","","","","","","","Harry Potter transfiguration book : with magical changing pictures","","","","England","London","BBC Children's","2002","","10 pages, colour illustrations, 25 cm","823.914","CLE.4/2002.b.21","Children's fiction ; Toy or moveable book","English","Lift the flap"
"Translating and interpreting in literature","general term","020334250","Monograph","Language material ; Text","Volume","GBC1F7791","9781527573574","","Panou, Despoina","","person","author","Panou, Despoina, author [person]","Translating names in Harry Potter","","","","England","Newcastle upon Tyne","Cambridge Scholars","2021","","1 volume, 21 cm","418.04","","","English",""
"Translating and interpreting in literature","general term","020637858","Monograph","Language material ; Text","Online resource (ebook)","GBC2A1466","9781527585249","","Panou, Despoina","","person","author","Panou, Despoina, author [person]","Translating names in Harry Potter","","","","England","Newcastle upon Tyne","Cambridge Scholars","2022","","1 online resource","418.04","","","English","Additional physical form: Print version. 9781527573574 ; Previously issued in print: 2021"
"Translation & interpretation","general term","020633140","Monograph","Language material ; Text","Online resource","","9781527585249","","","","","","Despoina Panou [person]","Translating Names in Harry Potter","","","","United Kingdom","Newcastle upon Tyne","Cambridge Scholars","2022","","1 online resource (220 pages)","","ELD.DS.691453","","English",""
"Twilight saga films","general term","017839381","Monograph","Language material ; Text","Volume","","9783826057977","","Mayer, Nadja Alexandra","","person","author","Mayer, Nadja Alexandra, author [person]","Moderne Heiligenlegenden : die Auferstehung des Märtyrers im Mainstream-Kino der Gegenwart, dargestellt am Beispiel von Harry Potter und Twilight","","Film - Medium - Diskurs","Band 65 [Film - Medium - Diskurs]","Germany","Würzburg","Königshausen & Neumann","2016","","195 pages, 24 cm","","ZF.9.a.433 (65)","","German","Originally presented as the author's thesis (doctoral) --Universität München"
"Ungdomsböcker--genusaspekter","general term","015904839","Monograph","Language material ; Text","Volume","","9789170186783","","Nilson, Maria","","person","","Nilson, Maria [person]","Från Gossip Girl till Harry Potter : genusperspektiv på ungdomslitteratur","","","","Sweden","Lund","","2010","","188 pages, 20 cm","","YF.2011.a.24827","","English ; Swedish",""
"United States","geographical term","018221967","Monograph","Language material ; Text","Online resource","GBB725699","9780857732675","","Brown, Noel","","person","","Brown, Noel [person]","The Hollywood family film : a history, from Shirley Temple to Harry Potter","","Cinema and society series","","England ; United States of America","London ; New York","I.B. Tauris","2012","","1 online resource (xii, 276 pages), illustrations","791.4375","ELD.DS.116685","History","English",""
"United States","geographical term","019291757","Monograph","Language material ; Text","Online resource","GBB949536","9780857732675","","Brown, Noel","","person","","Brown, Noel [person]","The Hollywood family film : a history, from Shirley Temple to Harry Potter","","Cinema and society series","","England ; United States of America","London ; New York","I.B. Tauris","2012","","1 online resource (xii, 276 pages), illustrations","791.4375","ELD.DS.394773","History","English",""
"United States","geographical term","020560826","Monograph","Language material ; Text","Online resource","GBC275732","9781789380712 ; 9781789380729","","","","","","Frankel, Valerie Estelle, 1980-, editor [person]","Fan phenomena. Harry Potter","Harry Potter","Fan phenomena","","United States of America","Chicago, Illinois","University of Chicago Press","2019","","1 online resource","791.4372","ELD.DS.685988","","English",""
"Universities and colleges","general term","015815043","Monograph","Language material ; Text","Volume","","","","Caterson, Simon","1967-","person","","Mannix College [organisation] ; Caterson, Simon, 1967- [person]","The idea of a residential college : image & reality from John Henry Newman to Harry Potter and 'The social network'","Idea of a residential college : image and reality from John Henry Newman to Harry Potter and 'The social network'","","","Australia","Clayton, Victoria","Mannix College","2011","","24 pages, 24 cm","","YD.2011.a.6931","","English",""
"Vegan cooking","general term","020772716","Monograph","Language material ; Still image ; Text","Volume","GBC2I0676","9781956403060","","Grashuis, Imana","","person","author","Grashuis, Imana, author [person] ; Starr, Tylor, author [person]","The unofficial Harry Potter vegan cookbook : extraordinary plant-based meals inspired by the realm of wizards and witches","","","","United States of America","New York","Media Lab","2022","","1 volume, colour illustrations, 24 cm","641.56362","","","English",""
"Verenigde Staten","geographical term","018221967","Monograph","Language material ; Text","Online resource","GBB725699","9780857732675","","Brown, Noel","","person","","Brown, Noel [person]","The Hollywood family film : a history, from Shirley Temple to Harry Potter","","Cinema and society series","","England ; United States of America","London ; New York","I.B. Tauris","2012","","1 online resource (xii, 276 pages), illustrations","791.4375","ELD.DS.116685","History","English",""
"Verenigde Staten","geographical term","019291757","Monograph","Language material ; Text","Online resource","GBB949536","9780857732675","","Brown, Noel","","person","","Brown, Noel [person]","The Hollywood family film : a history, from Shirley Temple to Harry Potter","","Cinema and society series","","England ; United States of America","London ; New York","I.B. Tauris","2012","","1 online resource (xii, 276 pages), illustrations","791.4375","ELD.DS.394773","History","English",""
"Vermarktung","general term","020560826","Monograph","Language material ; Text","Online resource","GBC275732","9781789380712 ; 9781789380729","","","","","","Frankel, Valerie Estelle, 1980-, editor [person]","Fan phenomena. Harry Potter","Harry Potter","Fan phenomena","","United States of America","Chicago, Illinois","University of Chicago Press","2019","","1 online resource","791.4372","ELD.DS.685988","","English",""
"Villains in literature","general term","020738029","Monograph","Language material ; Text","Volume","GBC2F8838","9781592111671","","Cherry, Calvin H.","","person","author","Cherry, Calvin H., author [person]","A tale of two villains : theme and symbolism in Dracula and the Harry Potter saga","","","","United States of America","Las Vegas","Gaudium Publishing","2022","","1 volume, 23 cm","823.8","","","English",""
"Waldorf method of education","general term","017604907","Monograph","Language material ; Text","Volume","GBB5G0133","9781936367696","","Lutters, Frans","1958-","person","author","Mees, Philip, translator [person] ; Lutters, Frans, 1958-, author [person]","Who is Harry Potter?","Wie is Harry Potter?. English","","","United States of America","Chatham, New York","Waldorf Publications","2015","","71 pages, black and white illustrations, 22 cm","823.914","YKL.2018.a.11725","","English","Translated from the Dutch"
"Weasley, Ron, (Fictitious character)--Juvenile literature","person","018420988","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB7C0539","9781407177809","","Baker, Felicity","","person","author","Baker, Felicity, author [person]","Ron Weasley : cinematic guide","","Harry Potter","","England","London","Scholastic","2017","","1 online resource, colour illustrations","791.4375","","Children's literature","English","Additional physical form: Print version. 9781407173177"
"Wit and humor, Juvenile","general term","019026120","Monograph","Language material ; Still image ; Text","Volume","GBB8F5146","9781510737686","","Boone, Brian","","person","author","Brack, Amanda, illustrator [person] ; Boone, Brian, author [person]","The unofficial Harry Potter joke book : stupefying shenanigans for Slytherin","","","","United States of America","New York","Sky Pony Press","2018","","1 volume, illustrations, 18 cm","818.602","","Humour or satire","English",""
"Wit and humor, Juvenile","general term","019569063","Monograph","Language material ; Still image ; Text","Volume","GBB9G7561","9781510740938","","Boone, Brian","","person","author","Brack, Amanda, illustrator [person] ; Boone, Brian, author [person]","The unofficial Harry Potter joke book. Howling hilarity for Hufflepuff","Howling hilarity for Hufflepuff","","","United States of America","New York","Sky Pony Press","2019","","1 volume, illustrations, 18 cm","818.602","","Humour or satire","English",""
"Wit and humor, Juvenile","general term","019569064","Monograph","Language material ; Still image ; Text","Volume","GBB9G7562","9781510740945","","Boone, Brian","","person","author","Brack, Amanda, illustrator [person] ; Boone, Brian, author [person]","The unofficial Harry Potter joke book : raucous jokes and riddikulus riddles for Ravenclaw","","","","United States of America","New York","Sky Pony Press","2019","","1 volume, illustrations, 18 cm","818.602","","Humour or satire","English",""
"Wit and humor, Juvenile","general term","019569083","Monograph","Language material ; Still image ; Text","Volume","GBB9G7581","9781510748163","","Boone, Brian","","person","author","Brack, Amanda, illustrator [person] ; Boone, Brian, author [person]","The unofficial Harry Potter joke book : includes great guffaws for Gryffindor, stupefying shenanigans for Slytherin, howling hilarity for Hufflepuff, and raucous jokes and riddikulus riddles for Ravenclaw!","","","","United States of America","New York","Sky Pony Press","2019","","1 volume, illustrations, 18 cm","828.9202","","Humour or satire","English","Boxed"
